,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,458989,0,1,36,1,2,0,2,1,5,A
1,458994,1,1,37,1,5,8,0,4,5,C
2,458996,0,1,69,0,9,0,2,1,5,D
3,459000,1,1,59,0,4,11,1,2,5,C
4,459001,0,0,19,0,8,4,2,4,5,D
5,459003,1,1,47,1,1,0,1,5,3,C
6,459005,1,1,61,1,1,5,2,3,5,B
7,459008,0,1,47,1,0,1,0,3,5,C
8,459013,1,1,50,1,0,2,0,4,5,C
9,459014,1,0,19,0,5,0,2,4,5,D
10,459015,1,0,22,0,5,0,2,3,5,D
11,459016,0,0,22,0,5,0,2,6,5,D
12,459024,1,1,50,1,0,1,0,5,5,C
13,459026,1,0,27,0,5,8,2,3,2,D
14,459032,1,0,18,0,1,0,2,3,5,D
15,459033,0,1,61,1,0,0,2,1,5,B
16,459036,0,1,20,1,7,1,0,3,2,D
17,459039,1,1,45,1,0,1,0,2,5,C
18,459041,1,1,55,1,0,8,2,1,5,B
19,459045,0,1,88,1,7,1,0,4,5,C
20,459056,1,1,63,0,4,1,1,3,5,B
21,459057,1,1,69,0,7,1,1,3,5,B
22,459058,1,0,42,1,0,0,2,4,2,A
23,459059,1,1,79,0,4,1,1,2,5,B
24,459061,0,1,35,1,5,9,1,3,5,D
25,459064,1,1,27,0,4,5,1,4,5,D
26,459065,1,1,52,1,2,3,2,2,5,A
27,459074,0,0,29,1,5,0,2,4,3,D
28,459077,0,1,79,0,7,1,1,2,5,B
29,459079,1,1,87,1,7,1,1,2,5,B
30,459080,1,1,89,0,7,1,2,2,5,D
31,459083,1,1,63,1,0,9,0,3,7,C
32,459090,1,0,31,0,0,1,2,2,5,A
33,459091,1,1,72,1,0,1,0,6,0,C
34,459093,0,1,41,1,1,9,0,2,7,C
35,459100,0,0,61,1,0,11,2,1,5,B
36,459106,1,1,62,1,0,0,2,2,5,B
37,459114,1,1,56,1,0,1,0,2,5,C
38,459116,1,1,60,1,0,2,0,5,5,C
39,459117,1,1,68,1,0,0,1,2,5,C
40,459118,1,0,19,0,5,2,2,8,5,D
41,459119,1,1,57,1,4,8,1,3,5,C
42,459120,1,0,19,0,5,5,2,5,1,D
43,459121,0,1,51,1,0,3,0,6,5,C
44,459123,0,1,86,0,0,1,1,2,5,B
45,459130,0,1,74,0,7,1,1,2,5,D
46,459132,1,0,23,0,3,6,2,2,5,D
47,459136,1,1,47,1,0,0,0,2,5,C
48,459140,0,0,19,0,5,7,2,6,5,D
49,459143,1,1,50,0,0,0,1,4,5,B
50,459144,1,1,80,1,7,1,1,2,5,B
51,459145,1,1,78,0,7,1,2,1,1,A
52,459150,0,0,48,1,1,0,2,1,5,A
53,459160,1,1,70,1,1,1,0,2,5,C
54,459161,1,1,50,1,4,3,1,5,5,C
55,459162,0,1,83,1,7,0,1,2,5,B
56,459163,1,0,35,1,3,0,2,1,5,A
57,459167,0,0,36,1,0,0,2,2,4,A
58,459170,0,0,35,1,0,1,2,1,5,A
59,459171,1,1,35,1,0,0,0,2,5,C
60,459172,1,0,18,0,5,3,2,3,1,D
61,459175,0,1,73,1,0,1,0,2,5,C
62,459181,1,1,62,0,0,1,1,3,5,B
63,459182,0,1,46,1,0,1,0,2,5,C
64,459184,1,1,43,1,3,0,2,4,3,A
65,459185,0,0,32,1,3,7,2,1,5,D
66,459193,1,0,39,1,0,0,2,1,5,A
67,459194,0,1,89,1,7,0,1,2,5,B
68,459196,0,0,18,0,5,0,2,3,3,D
69,459208,0,1,57,1,0,0,1,2,2,C
70,459209,0,0,18,0,3,0,2,4,5,D
71,459210,0,1,71,1,0,1,1,2,5,C
72,459212,0,1,69,1,0,0,0,2,5,C
73,459213,0,0,42,1,5,0,2,4,5,D
74,459216,0,0,36,1,0,0,2,2,5,A
75,459220,0,1,80,1,7,1,1,2,5,B
76,459221,1,1,69,0,3,2,2,1,5,A
77,459222,0,1,67,1,0,0,0,3,5,C
78,459223,0,1,47,1,1,1,0,4,5,C
79,459224,0,1,49,1,0,0,0,2,5,C
80,459227,0,1,32,0,2,9,2,4,5,D
81,459229,0,1,65,1,7,1,0,4,5,C
82,459236,0,1,78,0,7,0,1,2,5,B
83,459237,1,0,33,1,0,1,2,6,5,C
84,459244,1,1,48,1,0,1,2,1,5,B
85,459247,1,1,58,1,4,1,0,5,5,C
86,459258,0,1,83,1,7,1,1,2,5,B
87,459263,0,0,30,0,5,9,2,4,5,D
88,459264,0,0,35,1,0,0,2,2,5,A
89,459266,1,0,32,1,5,6,2,5,5,D
90,459270,1,1,69,1,6,1,1,2,5,C
91,459284,0,1,71,1,7,1,1,2,5,B
92,459287,1,0,43,1,7,0,2,1,3,D
93,459288,1,1,37,1,0,0,2,2,5,B
94,459289,1,0,42,1,1,0,2,1,5,A
95,459290,0,1,70,1,1,1,0,2,5,C
96,459292,1,0,46,1,0,0,2,2,5,B
97,459293,1,0,21,0,5,3,2,4,0,D
98,459296,1,1,70,1,0,0,0,2,5,C
99,459300,0,1,61,1,0,1,2,2,5,C
100,459307,1,1,60,1,3,1,2,1,5,A
101,459310,1,0,37,1,3,0,2,2,1,D
102,459316,1,1,30,1,5,1,2,2,5,D
103,459318,0,0,32,1,2,1,2,3,5,D
104,459320,1,1,26,1,4,0,2,3,5,D
105,459322,1,0,42,1,8,0,2,1,5,D
106,459323,0,0,18,0,1,4,2,3,5,D
107,459338,1,1,80,0,4,1,2,2,5,D
108,459339,1,1,29,1,5,8,1,2,5,A
109,459344,0,1,88,1,0,1,1,2,5,C
110,459347,1,1,70,1,7,1,2,1,5,D
111,459349,0,1,50,1,0,1,1,4,5,C
112,459352,1,1,43,1,1,4,0,4,2,C
113,459353,1,1,51,1,0,6,0,2,5,C
114,459354,0,1,50,1,0,3,1,3,5,C
115,459355,0,1,74,0,6,2,2,1,5,D
116,459360,0,0,29,1,5,4,2,3,5,D
117,459361,0,0,32,1,2,4,2,2,5,A
118,459362,1,1,60,0,4,0,2,2,5,A
119,459363,1,0,46,1,0,2,2,1,5,B
120,459364,0,1,81,1,8,0,2,2,5,D
121,459369,1,1,41,0,2,1,0,7,3,D
122,459375,1,1,22,0,4,0,1,4,5,D
123,459377,1,1,37,1,0,0,0,3,5,C
124,459383,1,1,43,0,2,0,2,1,5,A
125,459384,1,1,50,1,0,1,0,3,5,C
126,459385,0,1,35,1,0,1,0,2,6,C
127,459386,1,1,65,0,7,1,1,2,5,B
128,459391,0,0,41,1,2,0,2,4,5,C
129,459394,1,0,28,0,3,8,2,2,5,D
130,459397,1,1,55,1,0,4,0,2,5,C
131,459398,0,1,58,0,7,2,1,2,5,D
132,459401,1,0,28,0,5,1,2,3,7,D
133,459403,1,1,48,1,0,2,0,4,6,C
134,459405,0,1,78,0,1,1,1,2,5,B
135,459407,0,0,35,1,1,1,2,3,5,A
136,459409,0,1,76,1,7,0,1,2,5,B
137,459410,0,1,88,1,7,1,1,2,5,B
138,459412,1,1,61,1,9,1,0,3,5,C
139,459413,0,1,79,1,0,2,1,2,5,C
140,459415,1,0,30,0,1,0,2,4,5,D
141,459418,1,1,69,0,4,0,1,2,5,B
142,459419,1,1,65,1,1,1,0,2,5,C
143,459420,0,1,70,1,7,1,2,2,5,D
144,459421,1,1,32,0,5,0,0,4,5,D
145,459422,1,1,46,1,3,2,2,4,5,A
146,459423,1,0,21,0,5,8,2,5,5,D
147,459424,1,1,47,1,1,3,2,3,5,B
148,459428,0,0,39,0,8,0,2,2,3,D
149,459432,1,1,85,1,7,0,2,3,5,A
150,459436,0,0,66,1,0,0,2,2,5,B
151,459439,0,1,50,1,0,1,0,2,5,C
152,459445,0,1,42,1,0,0,0,3,5,C
153,459447,1,1,53,1,0,9,2,1,5,B
154,459449,1,1,37,1,0,3,2,2,5,B
155,459451,0,1,45,1,0,1,2,2,5,B
156,459456,0,0,66,0,7,2,2,1,5,D
157,459458,1,0,33,0,8,3,2,3,5,D
158,459459,1,1,40,1,0,4,2,1,5,B
159,459461,0,1,35,1,0,1,2,1,0,A
160,459464,1,0,27,1,0,4,2,2,5,A
161,459466,0,1,48,1,0,0,0,3,3,C
162,459467,0,1,56,1,0,0,0,2,5,C
163,459469,1,1,25,1,5,3,2,6,5,D
164,459471,0,0,30,0,0,2,2,8,5,C
165,459480,0,1,46,1,3,7,2,3,5,A
166,459481,1,1,49,0,7,0,2,2,5,D
167,459482,1,1,72,0,8,1,2,4,5,D
168,459485,0,1,79,1,7,2,1,2,5,C
169,459496,0,0,35,1,0,3,2,3,5,C
170,459497,0,1,77,1,7,0,2,1,5,D
171,459499,0,1,79,0,7,1,1,2,5,B
172,459503,1,1,42,1,5,6,1,4,5,C
173,459505,0,0,42,1,2,4,2,1,5,A
174,459507,1,1,67,0,7,1,1,2,0,B
175,459509,1,0,26,1,5,1,2,1,5,D
176,459512,1,1,67,1,7,1,1,2,5,C
177,459515,1,1,55,1,2,1,2,1,5,A
178,459516,0,2,56,1,0,3,0,2,5,C
179,459518,1,1,63,2,9,2,0,4,5,C
180,459535,1,1,46,1,0,8,0,2,5,C
181,459536,1,1,32,1,5,7,2,2,5,D
182,459538,0,0,49,1,6,13,2,1,5,D
183,459541,1,1,59,1,0,1,1,2,5,C
184,459549,1,0,22,0,5,8,2,5,3,D
185,459555,0,0,28,1,0,8,2,1,5,A
186,459558,1,0,28,1,3,1,2,3,5,D
187,459564,1,1,75,1,7,2,2,1,5,D
188,459566,0,1,37,1,0,13,2,2,5,B
189,459567,1,1,50,1,1,0,0,2,5,C
190,459571,0,1,50,1,4,1,1,4,5,C
191,459576,0,1,88,0,7,1,2,1,7,D
192,459579,0,1,35,1,0,3,0,5,3,C
193,459581,0,0,35,0,9,3,2,3,6,D
194,459582,1,1,31,0,3,3,0,3,5,D
195,459583,1,1,46,1,0,0,2,1,5,B
196,459585,0,1,50,1,0,1,0,4,5,C
197,459587,0,0,33,1,0,7,2,3,5,C
198,459588,1,1,49,1,0,0,2,1,5,B
199,459591,1,1,52,1,0,1,0,3,5,C
200,459592,1,0,25,0,5,0,2,3,5,D
201,459594,0,1,41,1,0,6,2,1,5,B
202,459597,0,1,68,1,0,0,1,2,5,C
203,459603,0,1,79,0,7,2,1,2,5,B
204,459607,1,1,40,1,3,5,0,5,5,C
205,459608,0,0,62,1,1,3,2,1,5,B
206,459612,1,0,21,0,5,4,2,2,5,D
207,459616,0,0,20,0,5,3,2,4,0,D
208,459617,1,0,28,1,3,1,2,5,5,D
209,459618,1,1,57,1,1,0,0,2,3,C
210,459621,0,0,25,0,5,8,2,3,7,D
211,459625,0,1,63,0,2,8,2,1,5,B
212,459626,0,1,26,0,3,1,2,3,5,D
213,459632,0,1,50,0,8,0,1,3,3,D
214,459644,0,0,30,0,8,9,2,4,1,D
215,459652,0,0,26,0,2,3,2,4,3,D
216,459658,1,1,61,1,0,1,0,3,5,C
217,459664,1,0,42,1,0,3,2,1,5,B
218,459665,1,1,88,1,0,4,2,2,5,B
219,459672,1,1,45,0,0,3,0,3,5,B
220,459673,0,1,86,1,7,1,2,1,5,A
221,459678,1,0,18,0,5,1,2,5,5,D
222,459680,1,0,37,1,3,3,2,1,5,A
223,459686,1,1,46,1,0,1,2,1,5,B
224,459691,1,1,58,0,0,2,0,2,5,C
225,459692,0,1,72,1,7,8,1,2,5,C
226,459693,0,1,50,1,0,0,1,3,7,C
227,459699,0,2,56,1,2,8,0,3,5,C
228,459701,1,0,46,0,0,3,2,3,4,B
229,459710,1,1,57,1,0,2,2,1,5,B
230,459711,1,1,42,0,4,9,1,6,5,D
231,459712,1,0,20,0,5,3,2,4,5,D
232,459713,1,0,19,0,5,4,2,3,5,D
233,459715,1,0,19,0,5,4,2,4,5,D
234,459718,1,1,68,1,4,1,2,1,5,A
235,459725,0,1,40,1,0,0,2,2,5,B
236,459727,1,1,82,0,7,1,1,2,5,B
237,459740,0,0,23,0,5,1,2,3,5,D
238,459742,0,1,84,0,7,1,1,2,5,B
239,459745,1,1,51,0,0,0,2,4,0,A
240,459746,1,2,59,1,0,1,0,2,5,C
241,459747,0,1,41,1,0,1,0,5,5,C
242,459748,1,1,51,0,4,1,1,2,5,B
243,459755,0,1,62,0,0,2,0,3,5,C
244,459756,0,1,62,0,7,1,1,4,3,D
245,459760,0,1,38,1,0,8,2,1,5,B
246,459763,1,0,18,0,0,3,2,4,3,D
247,459767,1,0,22,0,5,3,2,4,5,D
248,459771,0,2,30,1,1,0,2,3,2,A
249,459779,0,1,62,1,3,1,2,1,5,B
250,459780,0,0,43,0,3,1,2,3,5,D
251,459785,0,0,32,1,2,4,2,1,2,A
252,459793,1,1,37,1,0,1,1,3,5,C
253,459795,1,0,48,1,0,1,2,1,5,B
254,459801,0,0,31,1,2,4,2,2,5,A
255,459804,1,1,46,0,0,4,1,4,5,B
256,459806,0,1,49,0,2,1,0,4,5,B
257,459808,1,1,43,0,1,2,0,4,5,B
258,459815,1,0,42,1,0,8,2,1,5,B
259,459816,1,1,37,1,1,3,2,2,5,A
260,459819,1,1,72,1,3,2,1,2,5,C
261,459821,1,2,71,0,4,2,1,1,7,B
262,459822,0,0,39,1,2,1,2,1,3,A
263,459825,1,0,20,0,5,0,2,5,1,D
264,459827,0,0,26,0,9,4,2,1,6,D
265,459832,1,1,72,1,4,1,2,1,5,A
266,459845,1,1,70,1,5,0,2,1,3,A
267,459851,1,0,45,1,0,2,2,1,5,B
268,459853,1,0,33,0,4,7,2,5,5,D
269,459856,1,1,50,0,3,0,0,3,5,B
270,459857,1,0,31,1,3,6,2,1,5,D
271,459861,0,1,74,0,7,1,1,2,5,D
272,459864,0,1,68,0,0,2,1,2,5,B
273,459866,0,0,49,1,0,3,2,1,5,B
274,459867,1,1,49,1,8,0,1,2,5,D
275,459869,0,0,18,0,5,1,2,3,5,D
276,459871,0,1,85,0,3,2,0,2,5,B
277,459885,0,0,38,1,3,3,2,4,5,D
278,459886,1,1,28,0,0,0,2,4,5,D
279,459887,1,1,46,0,0,3,0,2,7,C
280,459889,1,1,59,1,6,9,0,3,5,C
281,459897,0,1,56,1,0,0,2,2,5,B
282,459909,1,1,69,1,0,0,2,1,5,B
283,459910,1,1,66,1,0,0,2,2,5,B
284,459911,1,0,18,0,5,4,2,6,1,D
285,459914,1,0,36,1,0,4,2,1,3,B
286,459923,1,0,31,1,8,1,2,2,2,D
287,459925,1,1,67,0,4,1,1,2,3,A
288,459937,0,0,39,1,0,7,2,1,5,B
289,459943,1,0,42,1,3,4,2,3,5,D
290,459945,1,1,50,1,0,0,2,2,5,B
291,459946,0,1,37,1,0,0,0,2,5,C
292,459949,0,0,59,1,0,0,2,1,5,B
293,459953,1,1,50,1,0,8,2,2,5,B
294,459961,1,1,48,1,0,8,2,3,1,B
295,459962,1,1,55,1,0,9,2,1,5,B
296,459966,0,0,33,1,1,1,2,3,5,A
297,459968,1,0,38,1,0,13,2,1,6,A
298,459970,1,0,43,1,0,0,2,2,5,B
299,459973,0,0,53,1,0,0,2,2,5,B
300,459974,1,0,37,1,3,0,2,1,5,A
301,459975,0,0,36,1,0,5,2,1,5,A
302,459981,1,0,36,1,0,5,2,1,5,A
303,459986,1,1,62,1,0,1,2,1,5,B
304,459995,0,0,38,0,0,2,2,2,5,A
305,459996,1,0,55,1,3,1,2,1,5,A
306,459998,1,1,60,0,3,1,0,2,5,B
307,460004,0,1,36,1,3,7,0,2,4,A
308,460006,1,0,30,0,3,5,2,9,2,D
309,460014,0,0,66,0,3,4,2,3,5,D
310,460023,1,1,45,1,3,1,2,1,5,A
311,460027,0,0,40,1,3,6,2,2,5,A
312,460033,0,2,45,1,3,5,2,3,5,A
313,460036,1,1,41,1,9,2,2,1,5,D
314,460040,0,1,62,1,6,4,2,1,4,A
315,460045,1,1,61,1,0,1,2,2,5,B
316,460046,0,1,50,1,0,4,2,2,5,C
317,460050,1,1,53,1,3,3,2,2,5,A
318,460051,1,0,39,1,0,7,2,1,5,B
319,460052,0,0,86,1,7,0,2,1,2,D
320,460058,1,1,50,1,0,1,2,1,3,A
321,460059,0,0,46,0,3,4,2,3,3,D
322,460061,1,0,52,1,8,0,2,1,2,D
323,460066,0,0,45,0,8,0,2,1,5,D
324,460068,0,0,37,1,0,9,2,1,5,B
325,460073,0,1,36,1,2,3,2,1,5,A
326,460075,0,0,25,1,0,4,2,1,5,A
327,460079,0,0,40,0,1,1,2,1,5,A
328,460081,1,1,41,1,0,11,1,2,5,C
329,460088,0,1,25,1,6,4,1,2,5,D
330,460090,1,1,80,0,7,4,0,2,5,B
331,460093,0,0,46,1,0,3,2,1,2,B
332,460095,0,1,81,1,7,1,2,1,5,D
333,460097,1,2,40,1,0,0,2,2,2,A
334,460099,1,0,49,1,9,1,2,1,2,D
335,460101,0,0,26,1,5,8,2,3,2,D
336,460103,1,0,26,1,0,1,2,1,3,A
337,460105,0,0,47,1,0,0,2,1,3,B
338,460106,0,1,71,1,3,0,2,1,5,B
339,460107,1,1,48,1,2,1,0,5,5,C
340,460108,1,1,39,1,0,1,0,3,1,C
341,460109,1,1,50,1,0,8,0,2,5,C
342,460110,0,0,46,1,0,1,2,2,7,C
343,460112,1,1,26,1,2,8,0,2,2,A
344,460116,0,1,42,1,9,1,2,2,5,D
345,460118,0,1,36,1,0,4,2,2,5,B
346,460119,1,0,29,1,5,1,2,4,5,D
347,460122,0,0,39,0,0,1,2,1,5,A
348,460124,0,0,41,1,0,0,2,3,5,C
349,460126,0,1,48,1,8,8,2,2,5,D
350,460134,1,1,40,1,3,9,1,3,5,C
351,460135,0,0,25,1,5,4,2,3,5,D
352,460140,0,1,41,1,0,7,2,2,5,C
353,460141,1,0,37,1,0,11,2,1,5,A
354,460144,0,0,53,1,1,0,2,2,2,B
355,460146,0,1,51,1,2,0,0,3,2,B
356,460147,1,1,73,1,3,1,0,3,5,C
357,460157,1,1,61,0,9,1,2,5,3,D
358,460160,1,0,39,1,3,5,2,1,2,D
359,460162,0,0,19,0,5,0,2,4,1,D
360,460166,0,0,19,0,5,0,2,7,1,D
361,460167,0,0,23,0,3,1,2,5,1,D
362,460168,1,1,83,1,4,0,1,2,1,B
363,460171,0,1,62,1,0,1,1,2,5,C
364,460174,0,0,43,1,0,9,2,4,5,C
365,460175,0,0,27,0,0,0,2,5,1,D
366,460177,1,0,50,1,0,0,2,1,5,B
367,460179,0,0,23,0,3,0,2,6,1,D
368,460183,1,0,35,0,3,9,2,2,5,D
369,460185,1,0,32,0,5,9,2,3,5,D
370,460187,0,0,42,1,1,2,2,3,5,A
371,460189,1,0,33,0,3,13,2,1,5,D
372,460190,0,0,28,1,3,9,2,3,5,D
373,460192,1,1,35,1,9,1,2,2,6,D
374,460196,0,0,35,1,5,9,2,2,5,D
375,460206,0,1,39,1,3,0,2,2,5,A
376,460211,1,1,28,2,0,6,2,1,5,A
377,460212,1,1,35,1,3,11,2,6,5,C
378,460214,0,1,45,1,2,0,0,2,5,C
379,460222,0,2,73,1,7,4,1,2,5,C
380,460223,1,0,52,0,3,1,2,1,5,A
381,460227,1,0,28,0,5,0,2,3,5,D
382,460242,1,1,38,1,5,9,2,3,5,D
383,460243,0,0,42,1,3,8,2,1,5,A
384,460247,0,0,26,0,1,9,2,3,5,D
385,460248,0,0,27,1,5,7,2,2,5,D
386,460252,1,1,41,1,0,0,2,2,5,B
387,460263,1,1,41,1,0,1,2,2,5,B
388,460265,1,1,47,1,4,0,1,4,5,C
389,460270,1,0,35,1,1,8,2,1,5,A
390,460272,0,0,88,1,7,0,2,1,5,D
391,460275,0,0,46,1,0,6,2,1,5,B
392,460276,0,1,41,1,0,3,2,2,5,C
393,460281,0,0,30,1,1,10,2,5,5,C
394,460283,1,1,43,1,1,12,2,2,5,B
395,460284,0,0,29,1,3,9,2,2,5,D
396,460287,1,1,48,1,0,1,2,1,5,B
397,460289,0,1,61,1,0,4,0,6,3,C
398,460298,0,0,51,1,7,2,2,1,5,D
399,460303,0,0,38,1,0,2,2,1,7,A
400,460305,0,2,49,1,3,0,1,1,5,A
401,460306,0,0,43,1,5,9,2,1,5,D
402,460310,1,0,27,0,5,14,2,4,5,D
403,460315,0,0,35,0,1,14,2,6,6,D
404,460319,0,1,39,0,1,4,0,2,6,B
405,460322,0,1,52,0,2,9,2,2,5,A
406,460323,0,0,38,1,2,10,2,1,5,A
407,460324,0,0,30,1,3,12,2,2,5,D
408,460327,0,0,43,1,0,10,2,1,5,B
409,460333,0,0,42,0,3,10,2,4,5,D
410,460336,0,0,46,1,0,2,2,1,6,B
411,460340,0,0,47,1,0,11,2,2,5,B
412,460341,0,0,32,0,3,13,2,5,6,D
413,460344,0,1,53,1,0,11,0,2,5,C
414,460346,0,1,43,1,0,12,0,2,5,C
415,460348,0,0,39,1,0,0,2,2,5,A
416,460349,1,2,42,1,0,3,0,2,5,C
417,460354,0,0,37,1,0,3,2,1,2,A
418,460356,1,0,19,0,5,0,2,4,5,D
419,460358,1,0,30,0,8,1,2,1,2,D
420,460361,0,1,49,1,0,0,2,1,3,B
421,460362,1,1,55,1,5,0,2,3,3,A
422,460365,0,1,59,1,1,1,2,2,3,B
423,460369,0,1,46,1,0,3,2,2,5,C
424,460370,0,1,27,1,4,9,1,2,5,D
425,460371,0,0,25,1,0,1,2,2,5,A
426,460378,0,0,37,1,1,1,2,1,5,A
427,460379,1,0,38,1,0,9,2,3,5,C
428,460380,1,0,29,1,3,9,2,3,5,D
429,460381,1,0,28,1,0,11,2,2,5,A
430,460384,0,1,27,1,8,8,2,2,5,D
431,460387,0,0,42,0,3,3,2,2,5,D
432,460388,0,0,43,1,0,14,2,2,5,B
433,460389,0,1,40,1,5,8,0,2,5,A
434,460390,1,0,41,1,0,9,2,3,5,C
435,460392,1,1,46,0,3,8,2,1,0,A
436,460394,0,0,32,1,5,9,2,3,5,D
437,460397,0,0,56,1,3,1,2,1,5,A
438,460399,1,0,28,1,8,12,2,1,5,D
439,460401,0,0,25,1,0,0,2,3,6,A
440,460404,1,1,42,1,0,6,2,7,5,A
441,460405,0,0,41,1,3,5,2,2,5,A
442,460406,1,1,36,1,5,3,2,2,5,D
443,460408,0,0,42,1,0,2,2,1,5,A
444,460409,0,0,42,1,0,8,2,4,5,C
